id;nome;significado;origem;motivo_escolha;pesquisas
101;Admeto;Admetus ou gr ego Admetos,  indomável;Latim;Extraído de Livro dos Nomes;0
102;Admin;Citado na ge nealogia de Jesus;Hebraico;Extraído de Livro dos Nomes;0
103;Ado;Que tem  prosper idade e beleza. Fem inino: Ada;Hebraico;Extraído de Livro dos Nomes;0
104;Adolfo;Adalwolf, nobr e, lobo heró i, bravo guerr eiro. Ad, Do lf,;Teutônico;Extraído de Livro dos Nomes;0
105;Adom;Rei de Gaza;Aramaico;Extraído de Livro dos Nomes;0
106;Adonai;Senh ores meus. Um dos nomes de De us no Antigo;Hebraico;Extraído de Livro dos Nomes;0
107;Adonaide;Nome poétic o da deus a Vênus;Grego;Extraído de Livro dos Nomes;0
108;Adônia;Feminino de Adônis;Grego;Extraído de Livro dos Nomes;0
109;Adonias;Deus é meu senh or. Foi um prínc ipe he braico, filh o do Rei;Hebraico;Extraído de Livro dos Nomes;0
110;Adoniram;Adon + ram (sen hor + elevado).  O Senhor é excelso;Hebraico;Extraído de Livro dos Nomes;0
111;Adônis;Adon ou do greg o Ádonis, senh or. Adônis na m itologia foi um;Fenício;Extraído de Livro dos Nomes;0
112;Adorabela;Ador iabelle, dá diva form osa;Franco-latino;Extraído de Livro dos Nomes;0
113;Adorinda;Adorável,  estimável;Esperanto;Extraído de Livro dos Nomes;0
114;Adozina;Doce;Latim;Extraído de Livro dos Nomes;0
115;Adramalec;Ad ar é conselh eiro;Babilônico;Extraído de Livro dos Nomes;0
116;Adrastea;Aquela de que m nã o se pode fugir . Apelido de Nêmesis,;Grego;Extraído de Livro dos Nomes;0
117;Ádrasto;O  inevitável,  de quem não se po de fugir;Grego;Extraído de Livro dos Nomes;0
118;Adriana;Da cida de de Ária, regi ão ban hada p elo ma r Adriático. Ádria;Latim;Extraído de Livro dos Nomes;0
119;Adriano;"Ater, aquele que é escur o; pess oa mo rena; ap elido entre os";Latim;Extraído de Livro dos Nomes;0
120;Adriel;Da con gregaç ão divina;Hebraico;Extraído de Livro dos Nomes;0
121;Adroaldo;Uodal + Wald, que governa as riquez as;Teutônico;Extraído de Livro dos Nomes;0
122;Aécio;Aetos, águia;Grego;Extraído de Livro dos Nomes;0
123;Aegla;Aígle, Aglaê, esp lendor;Grego;Extraído de Livro dos Nomes;0
124;Afif;Hon esto,  casto;Árabe;Extraído de Livro dos Nomes;0
125;Afonso;Nobre e di ligente, atencioso. V ariação de Alfonso;Germânico;Extraído de Livro dos Nomes;0
126;Afra;Feminino de afro;Latim;Extraído de Livro dos Nomes;0
127;Afrânio;Afrani us, que vem de uma língua afric ana. Poeta côm ico lat ino;Latim;Extraído de Livro dos Nomes;0
128;Agamedes;Arqu iteto que construi u o templo de Apolo, em  Delfos;Grego;Extraído de Livro dos Nomes;0
129;Agamenon;Muito firme, pers everante, resistente;Grego;Extraído de Livro dos Nomes;0
130;Agápio;Afeiçã o, caridade;Grego;Extraído de Livro dos Nomes;0
131;Agapito;Agapitus ou do gre go Agapetós, amável, quer ido;Latim;Extraído de Livro dos Nomes;0
132;Agar;Estrang eira. Agar foi concub ina de Abraã o;Hebraico;Extraído de Livro dos Nomes;0
133;Ágata;Agathé, boa, bondosa;Grego;Extraído de Livro dos Nomes;0
134;Agátocles;Boa fam a;Grego;Extraído de Livro dos Nomes;0
135;Agda;Boa;Grego;Extraído de Livro dos Nomes;0
136;Agenor;Bravo, soberbo, viril;Grego;Extraído de Livro dos Nomes;0
137;Ageu;Alegre, festi vo, contente,  nasc ido e m dia de festa;Hebraico;Extraído de Livro dos Nomes;0
138;Agilberto;Agil-bert, espada que br ilha ou espad a que tem  fama,;Germânico;Extraído de Livro dos Nomes;0
139;Agildo;Ofer ta dos d euses;Teutônico;Extraído de Livro dos Nomes;0
140;Agliberto;Espa da que bri lha;Germânico;Extraído de Livro dos Nomes;0
141;AgnataouAgnato;Parente por li nha pater na;Latim;Extraído de Livro dos Nomes;0
142;Agnelo;Agnellus, cord eirinho;Latim;Extraído de Livro dos Nomes;0
143;Agnês;Agne, pura, santa, cord eirinha, ovelh a nova;Grego;Extraído de Livro dos Nomes;0
144;Agostinho;Form a diminutiva de Augusto;Latim;Extraído de Livro dos Nomes;0
145;Agra;Campo de fonte;Português;Extraído de Livro dos Nomes;0
146;Agrécio;Agreste, do ca mpo;Latim;Extraído de Livro dos Nomes;0
147;Agrícola;Agric ultor;Latim;Extraído de Livro dos Nomes;0
148;Agripa;Dado à lu z com dificuld ade. Grande ge neral ro mano;Latim;Extraído de Livro dos Nomes;0
149;Agripina;Que foi dad o à luz com dificuldade;Latino;Extraído de Livro dos Nomes;0
150;Agripino;Der ivado d e Agripa: Agra + pous (p egar + pé), o que nasceu;Latim;Extraído de Livro dos Nomes;0
151;Aguiar;Lu gar onde h abita m águ ias;Português;Extraído de Livro dos Nomes;0
152;Aguilar;Orig inário do portugu ês Aguiar;Espanhol;Extraído de Livro dos Nomes;0
153;Aguinaldo;Aginald, aq uele q ue governa com a espada;Teutônico;Extraído de Livro dos Nomes;0
154;Agustine;Augustin e, que pertence a Augusto. Agostinho, Austi n, são;Latim;Extraído de Livro dos Nomes;0
155;Aida;Pud or, recato. Nome de u ma óp era de V erdi, repres entada pe la;Italiano;Extraído de Livro dos Nomes;0
156;Aída;Derivam Aída, do an glo-s axão Eada (pr óspera, feliz);Etíope;Extraído de Livro dos Nomes;0
157;Aidil;Eid il, nobre, fida lgo. Ou do ár abe Aidel, justic eiro;Germânico;Extraído de Livro dos Nomes;0
158;Ailson;De sa grada fam a;Germânico;Extraído de Livro dos Nomes;0
